Category	Month	Count
Job Alerts	2023-12	22
Job Alerts	2024-01	29
Job Alerts	2024-02	30
Job Alerts	2024-03	15
Job Alerts	2024-04	11
Job Alerts	2024-05	6
Job Alerts	2024-06	4
Job Alerts	2024-07	11
Job Alerts	2024-08	11
Job Alerts	2024-09	14
Job Alerts	2024-10	52
Job Alerts	2024-11	27
Job Alerts	2024-12	42
Job Alerts	2025-01	65
Job Alerts	2025-02	76
Job Alerts	2025-03	78
Job Alerts	2025-04	156
Job Alerts	2025-05	128
Job Alerts	2025-06	112
Job Alerts	2025-07	130
Job Alerts	2025-08	18
Promotions	2019-02	3
Promotions	2019-03	5
Promotions	2019-05	1
Promotions	2019-06	1
Promotions	2019-09	1
Promotions	2020-01	14
Promotions	2020-02	8
Promotions	2020-03	7
Promotions	2020-04	2
Promotions	2020-05	2
Promotions	2020-07	5
Promotions	2020-08	5
Promotions	2020-09	49
Promotions	2020-10	63
Promotions	2020-11	52
Promotions	2020-12	40
Promotions	2021-01	29
Promotions	2021-02	37
Promotions	2021-03	34
Promotions	2021-04	47
Promotions	2021-05	55
Promotions	2021-06	58
Promotions	2021-07	12
Promotions	2021-08	23
Promotions	2021-09	26
Promotions	2021-10	11
Promotions	2021-12	40
Promotions	2022-01	21
Promotions	2022-02	21
Promotions	2022-03	20
Promotions	2022-04	27
Promotions	2022-05	33
Promotions	2022-06	31
Promotions	2022-07	24
Promotions	2022-08	23
Promotions	2022-09	22
Promotions	2022-10	21
Promotions	2022-11	21
Promotions	2022-12	23
Promotions	2023-01	30
Promotions	2023-02	23
Promotions	2023-03	22
Promotions	2023-08	14
Promotions	2023-09	16
Promotions	2023-10	13
Promotions	2023-11	6
Promotions	2023-12	11
Promotions	2024-01	20
Promotions	2024-02	15
Promotions	2024-03	18
Promotions	2024-04	47
Promotions	2024-05	47
Promotions	2024-06	35
Promotions	2024-07	15
Promotions	2024-08	14
Promotions	2024-09	15
Promotions	2024-10	37
Promotions	2024-11	40
Promotions	2024-12	19
Promotions	2025-01	25
Promotions	2025-02	16
Promotions	2025-03	21
Promotions	2025-04	41
Promotions	2025-05	47
Promotions	2025-06	35
Promotions	2025-07	40
Promotions	2025-08	5
Social	2019-11	12
Social	2019-12	47
Social	2020-01	48
Social	2020-02	42
Social	2020-03	19
Social	2020-04	33
Social	2020-05	51
Social	2020-06	44
Social	2020-07	45
Social	2020-08	45
Social	2020-09	42
Social	2020-10	20
Social	2020-11	3
Social	2020-12	6
Social	2021-03	3
Social	2021-04	2
Social	2021-05	3
Social	2021-06	4
Social	2021-07	2
Social	2021-08	6
Social	2021-12	11
Social	2022-01	42
Social	2022-02	48
Social	2022-03	40
Social	2022-04	29
Social	2022-05	23
Social	2022-06	25
Social	2022-07	45
Social	2022-08	57
Social	2022-09	9
Social	2022-10	34
Social	2022-11	7
Social	2022-12	5
Social	2023-02	3
