Category	Date	PrevCount	TodayCount	Type
Job Alerts	2025-01-14	3	4	Spike
Job Alerts	2025-02-06	3	4	Spike
Job Alerts	2025-02-12	3	4	Spike
Job Alerts	2025-02-19	3	6	HighVolume,Spike
Job Alerts	2025-02-26	3	4	Spike
Job Alerts	2025-04-02	4	8	HighVolume,Spike
Job Alerts	2025-04-04	5	11	HighVolume,Spike
Job Alerts	2025-04-05	11	6	HighVolume
Job Alerts	2025-04-07	3	7	HighVolume,Spike
Job Alerts	2025-04-08	7	6	HighVolume
Job Alerts	2025-04-09	6	7	HighVolume,Spike
Job Alerts	2025-04-10	7	6	HighVolume
Job Alerts	2025-04-11	6	10	HighVolume,Spike
Job Alerts	2025-04-13	3	5	Spike
Job Alerts	2025-04-15	5	6	HighVolume,Spike
Job Alerts	2025-04-22	3	4	Spike
Job Alerts	2025-04-23	4	6	HighVolume,Spike
Job Alerts	2025-04-25	4	5	Spike
Job Alerts	2025-04-28	2	6	HighVolume
Job Alerts	2025-04-29	6	6	HighVolume
Job Alerts	2025-05-02	3	5	Spike
Job Alerts	2025-05-04	3	4	Spike
Job Alerts	2025-05-07	3	7	HighVolume,Spike
Job Alerts	2025-05-09	3	7	HighVolume,Spike
Job Alerts	2025-05-15	3	4	Spike
Job Alerts	2025-05-16	4	5	Spike
Job Alerts	2025-05-19	1	6	HighVolume
Job Alerts	2025-05-21	3	7	HighVolume,Spike
Job Alerts	2025-05-24	3	4	Spike
Job Alerts	2025-05-26	3	5	Spike
Job Alerts	2025-05-31	2	6	HighVolume
Job Alerts	2025-06-02	3	5	Spike
Job Alerts	2025-06-10	4	5	Spike
Job Alerts	2025-06-13	3	4	Spike
Job Alerts	2025-06-17	3	4	Spike
Job Alerts	2025-06-21	3	4	Spike
Job Alerts	2025-06-25	4	6	HighVolume,Spike
Job Alerts	2025-06-28	4	5	Spike
Job Alerts	2025-07-01	3	5	Spike
Job Alerts	2025-07-02	5	6	HighVolume,Spike
Job Alerts	2025-07-04	5	6	HighVolume,Spike
Job Alerts	2025-07-05	6	6	HighVolume
Job Alerts	2025-07-07	4	5	Spike
Job Alerts	2025-07-09	4	6	HighVolume,Spike
Job Alerts	2025-07-13	4	5	Spike
Job Alerts	2025-07-16	4	5	Spike
Job Alerts	2025-07-20	3	5	Spike
Job Alerts	2025-07-25	4	7	HighVolume,Spike
Job Alerts	2025-07-28	3	4	Spike
Job Alerts	2025-08-01	3	4	Spike
Job Alerts	2025-08-03	3	4	Spike
Promotions	2021-06-03	3	4	Spike
Promotions	2021-06-15	3	5	Spike
Promotions	2021-12-23	4	8	HighVolume,Spike
Promotions	2021-12-24	8	8	HighVolume
Promotions	2021-12-25	8	7	HighVolume
Promotions	2024-05-09	3	4	Spike
Promotions	2024-06-01	3	4	Spike
Promotions	2024-11-25	1	6	HighVolume
Promotions	2024-12-02	3	4	Spike
Promotions	2025-04-14	2	6	HighVolume
Promotions	2025-04-21	1	7	HighVolume
Promotions	2025-07-15	4	5	Spike
Social	2020-08-21	2	7	HighVolume
Social	2022-07-28	3	4	Spike
Spam	2025-07-18	2	6	HighVolume
Transactional/Finance	2023-09-12	1	9	HighVolume
Transactional/Finance	2024-11-06	4	6	HighVolume,Spike
Transactional/Finance	2025-06-18	4	10	HighVolume,Spike
Transactional/Finance	2025-06-21	3	6	HighVolume,Spike
Transactional/Finance	2025-06-23	1	6	HighVolume
